group,accuracy,balanced_accuracy,macro_f1,row_count
S001,0.4666666666666667,0.48214285714285715,0.4444444444444444,15.0
S002,0.7333333333333333,0.7321428571428572,0.7321428571428572,15.0
S003,0.5333333333333333,0.5178571428571428,0.49760765550239233,15.0
S004,0.5333333333333333,0.5,0.34782608695652173,15.0
S005,0.5333333333333333,0.5,0.34782608695652173,15.0
S006,0.5666666666666667,0.5357142857142857,0.4222222222222222,30.0
S008,0.4666666666666667,0.5,0.3181818181818182,15.0
S009,0.4666666666666667,0.5,0.3181818181818182,15.0
S010,0.5,0.5133928571428572,0.4857142857142857,30.0
