group,accuracy,balanced_accuracy,macro_f1,row_count
S001,0.6666666666666666,0.6696428571428572,0.6666666666666666,15.0
S002,0.7333333333333333,0.75,0.7222222222222222,15.0
S003,0.4,0.4107142857142857,0.3891402714932127,15.0
S004,0.4,0.4107142857142857,0.3891402714932127,15.0
S005,0.4,0.375,0.2857142857142857,15.0
S006,0.5333333333333333,0.5178571428571428,0.49760765550239233,30.0
S008,0.6666666666666666,0.6875,0.6411483253588517,15.0
S009,0.5333333333333333,0.5,0.34782608695652173,15.0
S010,0.5,0.4910714285714286,0.4857142857142857,30.0
